,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
348,ts21421,Pocoyo,SHOW,"Pocoyo is a Spanish pre-school animated television series created by Guillermo García Carsí, Luis Gallego and David Cantolla, and is a co-production between Spanish producer Zinkia Entertainment, Cosgrove-Hall Films and Granada International. Two series have been produced, each consisting of 52 seven-minute episodes. English actor and comedian Stephen Fry narrates the English-language version and José María del Río narrates the Castilian Spanish version.

Set in a 3D space, with a plain white background and usually no backdrops, it is about Pocoyo, a 3-year-old boy, interacting with his friends Pato, Elly and Loula. Viewers are encouraged to recognise situations that Pocoyo is in, and things that are going on with or around him. The narrator usually speaks explicitly to the viewers and to the characters as well. Each character has its own distinctive dance and also a specific sound, and most episodes end with the characters dancing. Many episodes also involve parties.

In the United Kingdom, it was originally broadcast on CITV, a children's strand on the ITV network. In September 2007, Channel 5 acquired terrestrial rights in the United Kingdom to the first and second series, making it part of the Milkshake! strand. The show, however, will continue to air on the CITV Channel. Other broadcasters in the English speaking countries include RTÉ in the Republic of Ireland, Nick Jr. in the U.S. nationwide and local station KCET-TV as well as KLCS-TV channel 58-2 in Los Angeles and on Univision in LATAM Spanish, Treehouse TV in Canada, ABC in Australia and TVNZ in New Zealand.",2005,TV-G,11,"['animation', 'family', 'comedy', 'european']","['GB', 'ES']",4.0,tt0487849,3.9,93.0,27.339,7.1
349,ts22005,Total Drama Island,SHOW,"Reality TV meets animation in this parody in which twenty-two teens are sent to the most run-down and bug-infested summer camp known to reality TV producers. Split into teams, The Screaming Gophers take on The Killer Bass as they face challenges that get more insane each week.",2007,TV-PG,23,"['war', 'reality', 'animation', 'action', 'comedy', 'drama', 'family']",['CA'],6.0,tt1173427,7.3,10886.0,16.655,7.3
363,ts20544,Ouran High School Host Club,SHOW,"Ouran High is a school for the extremely wealthy or, in Haruhi's case, the extremely talented. But no amount of talent will help when Haruhi accidentally drops an eight million yen vase in a music room. The vase was the property of Ouran High School Host Club, a group of attractive young men who, for a fee, provide their time and affections for their lovesick clientele: the female students. Fascinated by this strange new specimen, a poor and clumsy commoner, they force Haruhi to work for them until the debt is repaid; but they get a lot more than they bargained for...",2006,TV-14,23,"['comedy', 'drama', 'animation', 'romance']",['JP'],1.0,tt0816397,8.2,9929.0,18.186,8.4
364,ts23835,Masha and the Bear,SHOW,"Masha is an energetic three-year-old who can’t seem to keep herself out of trouble. Bear is a warm, fatherly figure that does his best to guide his friend and keep her from harm, often ending up the unintended victim of her misadventures.",2009,TV-Y,7,"['family', 'action', 'animation', 'comedy']",['RU'],5.0,tt1884856,7.5,3169.0,38.171,6.9
366,ts30288,Mobile Suit Gundam Unicorn,SHOW,"The series begins in U.C. 0001, at the very beginning of human space colonization, when a space colony called Laplace is destroyed during a ceremony hosted by the Federation's Prime Minister ushering in the Universal Century dating system. The main story takes place in UC 0096, sixteen years after the end of the One Year War, three years after the events of Mobile Suit Gundam: Char's Counterattack, and 27 years before Mobile Suit Gundam F91.

The story revolves around Banagher Links, a seemingly normal boy living and going to school in the space colonies. His life changes one day when he meets a girl named Audrey Burne, as the encounter brings him into contact with a new Gundam and its connections to an item called ""Laplace's Box.""",2010,TV-14,36,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],2.0,tt1587790,7.8,1291.0,10.936,7.9
367,ts38159,Wakfu,SHOW,"Follow Yogu and his friends Amalia, Evangelyne, Tristepin, Ruel and Az as they try to rescue the world of Wakfu from destruction.",2008,TV-Y7,22,"['action', 'scifi', 'family', 'fantasy', 'animation', 'european']",['FR'],3.0,tt1807824,8.1,1497.0,19.736,8.9
370,ts25765,Vampire Knight,SHOW,"Yuki Cross, along with her best friend Zero, attempts to keep the peace between humans and vampires at Cross Academy, but personal issues soon threaten the situation.",2008,TV-14,25,"['animation', 'drama', 'action', 'scifi', 'thriller', 'fantasy', 'horror', 'romance']",['JP'],2.0,tt1209393,7.3,5245.0,17.547,8.4
371,ts21688,Boys Over Flowers,SHOW,A working class girl winds up at an exclusive prep school. Unassuming high school girl Jan Di stands up to -- and eventually falls for -- a spoiled rich kid who belongs to the school's most powerful clique.,2009,TV-14,64,"['comedy', 'drama', 'romance']",['KR'],1.0,tt1370334,7.9,11902.0,80.384,8.28
375,ts20535,The Garfield Show,SHOW,"Your favorite lazy, fat cat is at it again. Garfield, Odie, Jon and the rest of the gang are back for more funny misadventures. Whether he's scarfing down lasagna or tricking Nermal the kitten, Garfield is guaranteed to crack you up. But remember: He hates Mondays!",2009,TV-G,17,"['animation', 'comedy', 'family', 'european']",['US'],5.0,tt1470837,5.4,2578.0,25.677,5.2
376,ts1893,Ben & Holly's Little Kingdom,SHOW,The friendship between fairy princess Holly and Ben Elf in an enchanted magical kingdom of elves and fairies.,2009,TV-G,14,"['animation', 'comedy', 'family', 'fantasy', 'european']",['GB'],3.0,tt1436544,7.4,1261.0,11.735,6.6
378,ts12701,Code Lyoko,SHOW,"Code Lyoko centers on four children who travel to the virtual world of Lyoko to battle against a sentient artificial intelligence named XANA, with a virtual human called Aelita.",2003,TV-G,24,"['action', 'animation', 'comedy', 'thriller', 'scifi', 'family', 'romance', 'fantasy']",['FR'],5.0,tt0417311,7.3,5165.0,9.597,7.7
379,ts121176,DreamWorks Shrek's Swamp Stories,SHOW,Shrek and his pals have a series of adventures.,2010,TV-PG,24,"['comedy', 'family', 'fantasy', 'horror', 'music', 'animation', 'scifi']",['US'],1.0,tt6950338,6.5,346.0,5.014,8.8
381,ts20526,The Game,SHOW,"When her boyfriend Derwin Davis is chosen as the new third-string wide receiver for the San Diego Sabers, Melanie Barnett decides to attend a local college so she can be with him. While Derwin worries about the plays on the field, Melanie adjusts to her new lifestyle. She gets a play-by-play account of the lives and relationships among NFL wives, girlfriends and mom/managers who use their best game to help their men stay on the field and on their arm.",2006,TV-14,22,"['drama', 'comedy', 'romance', 'sport']",['US'],10.0,tt0772137,6.6,4449.0,12.124,8.4
382,ts23808,Monty Python: Almost the Truth (The Lawyer's Cut),SHOW,"A 2009 television documentary series in six parts that covers 40 years of the surreal comedy group Monty Python, from Flying Circus to present day projects such as the musical Spamalot. The series highlights their childhood, schooling and university life, and pre-Python work. The series featured new interviews with surviving members John Cleese, Terry Gilliam, Eric Idle, Terry Jones and Michael Palin, alongside archive interview footage of Graham Chapman and interviews with several associates of the Pythons, including Carol Cleveland, Neil Innes and Chapman's partner David Sherlock, along with commentary from modern comedians.",2009,TV-MA,55,"['comedy', 'documentation']",['US'],1.0,tt1422182,8.1,1768.0,2.422,7.9
